"protein_A","protein_B"
"Acss2","Stmn1"
"Acss2","Sub1"
"Acss2","Taldo1"
"Acss2","Thop1"
"Acss2","Tiprl"
"Acss2","Tsta3"
"Acss2","Ttr"
"Acss2","Usp14"
"Acta2","Arpc1a"
"Acta2","Coro1c"
"Acta2","Eno1"
"Acta2","Eno3"
"Acta2","Erp44"
"Acta2","Fkbp4"
"Acta2","Gapdh"
"Acta2","Gars"
"Acta2","Grpel1"
"Acta2","Ipcef1"
"Acta2","Mdh1"
"Acta2","Mtap"
"Acta2","Naa15"
"Acta2","P4hb"
"Acta2","Pdia3"
"Acta2","Pdia6"
"Acta2","Pls3"
"Acta2","Ppm1b"
"Acta2","Ppp1ca"
"Acta2","Prep"
"Acta2","Prepl"
"Acta2","Ptges3"
"Acta2","Rnh1"
"Acta2","Sae1"
"Acta2","Serpinb6a"
"Acta2","Sncb"
"Acta2","Stmn1"
"Acta2","Strap"
"Acta2","Taldo1"
"Acta2","Thop1"
"Acta2","Tpi1"
"Acta2","Twf1"
"Actb","Map1b"
"Actb","Nefh"
"Actb","Sptbn2"
"Actg1","Macf1"
"Actg1","Map1b"
"Actg1","Myo5a"
"Actg1","Nefh"
"Actg1","Rpl6"
"Actg1","Sptbn2"
"Actg1","Tnc"
"Actn1","Actn4"
"Actn1","Ap3b2"
"Actn1","Bin2"
"Actn1","Cul4a"
"Actn1","Dag1"
"Actn1","Kif21a"
"Actn1","Ppp5c"
"Actn1","Psmb5"
"Actn1","Tnip1"
"Actn4","Cul4a"
"Actn4","Cul4b"
"Actn4","Dag1"
"Actn4","Kif21a"
"Actn4","Ppp5c"
"Actn4","Psma1"
"Actn4","Psma2"
"Actn4","Psma3"
"Actn4","Psma4"
"Actn4","Psma5"
"Actn4","Psma6"
"Actn4","Psma7"
"Actn4","Psmb1"
"Actn4","Psmb2"
"Actn4","Psmb3"
"Actn4","Psmb4"
"Actn4","Psmb5"
"Actn4","Psmb7"
"Actn4","Stam2"
"Actn4","Tnip1"
"Actr10","Actr1b"
